,"gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score",min,median,max,mean/std
427,"male,group C,some high school,free/reduced,none,69.0,,","male,group C,some high school,free/reduced,none,69.0,,",,,nan/nan
428,"male,group A,some high school,free/reduced,none,65.0,59.0,53.0","male,group A,some high school,free/reduced,none,65.0,59.0,53.0",,,nan/nan
429,"male,group C,some high school,free/reduced,none,,63.0,54.0","male,group C,some high school,free/reduced,none,,63.0,54.0",,,nan/nan
430,"male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0","male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0",,,nan/nan
431,"female,,high school,standard,none,61.0,72.0,70.0","female,,high school,standard,none,61.0,72.0,70.0",,,nan/nan
432,"male,group C,high school,standard,none,61.0,56.0,55.0","male,group C,high school,standard,none,61.0,56.0,55.0",,,nan/nan
433,"female,group A,some high school,free/reduced,none,47.0,,50.0","female,group A,some high school,free/reduced,none,47.0,,50.0",,,nan/nan
434,"male,group C,some high school,standard,none,73.0,66.0,66.0","male,group C,some high school,standard,none,73.0,66.0,66.0",,,nan/nan
435,"male,group C,some college,free/reduced,completed,50.0,48.0,","male,group C,some college,free/reduced,completed,50.0,48.0,",,,nan/nan
436,"male,group D,associate's degree,standard,none,75.0,68.0,64.0","male,group D,associate's degree,standard,none,75.0,68.0,64.0",,,nan/nan
437,"male,group D,associate's degree,free/reduced,,,66.0,73.0","male,group D,associate's degree,free/reduced,,,66.0,73.0",,,nan/nan
438,"male,group C,high school,standard,none,70.0,56.0,51.0","male,group C,high school,standard,none,70.0,56.0,51.0",,,nan/nan
439,"male,group D,some high school,standard,completed,89.0,88.0,82.0","male,group D,some high school,standard,completed,89.0,88.0,82.0",,,nan/nan
440,",group C,some college,standard,completed,67.0,81.0,79.0",",group C,some college,standard,completed,67.0,81.0,79.0",,,nan/nan
441,"female,group D,high school,standard,none,78.0,81.0,80.0","female,group D,high school,standard,none,78.0,81.0,80.0",,,nan/nan
442,"female,group A,some high school,free/reduced,none,59.0,73.0,","female,group A,some high school,free/reduced,none,59.0,73.0,",,,nan/nan
443,"female,group B,associate's degree,standard,none,73.0,83.0,","female,group B,associate's degree,standard,none,73.0,83.0,",,,nan/nan
444,"male,group A,some high school,free/reduced,none,79.0,,73.0","male,group A,some high school,free/reduced,none,79.0,,73.0",,,nan/nan
445,"female,group C,some high school,standard,completed,67.0,74.0,77.0","female,group C,some high school,standard,completed,67.0,74.0,77.0",,,nan/nan
446,"male,group D,some college,free/reduced,none,69.0,66.0,60.0","male,group D,some college,free/reduced,none,69.0,66.0,60.0",,,nan/nan
447,"male,group C,high school,standard,completed,86.0,81.0,80.0","male,group C,high school,standard,completed,86.0,81.0,80.0",,,nan/nan
448,"male,group B,high school,,none,47.0,46.0,42.0","male,group B,high school,,none,47.0,46.0,42.0",,,nan/nan
449,"male,group B,associate's degree,standard,none,81.0,73.0,72.0","male,group B,associate's degree,standard,none,81.0,73.0,72.0",,,nan/nan
450,"female,group C,some college,free/reduced,completed,64.0,85.0,85.0","female,group C,some college,free/reduced,completed,64.0,85.0,85.0",,,nan/nan
451,"female,group E,some college,standard,none,100.0,92.0,97.0","female,group E,some college,standard,none,100.0,92.0,97.0",,,nan/nan
452,"female,group C,associate's degree,free/reduced,,65.0,77.0,74.0","female,group C,associate's degree,free/reduced,,65.0,77.0,74.0",,,nan/nan
453,"male,group C,some college,free/reduced,none,65.0,58.0,49.0","male,group C,some college,free/reduced,none,65.0,58.0,49.0",,,nan/nan
454,"female,group C,associate's degree,free/reduced,none,53.0,61.0,62.0","female,group C,associate's degree,free/reduced,none,53.0,61.0,62.0",,,nan/nan
455,"male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47.0","male,group C,bachelor's degree,free/reduced,none,37.0,56.0,47.0",,,nan/nan
456,"female,group D,bachelor's degree,standard,none,79.0,89.0,89.0","female,group D,bachelor's degree,standard,none,79.0,89.0,89.0",,,nan/nan
457,"male,group D,associate's degree,free/reduced,none,53.0,54.0,","male,group D,associate's degree,free/reduced,none,53.0,54.0,",,,nan/nan
458,",group E,bachelor's degree,standard,none,100.0,100.0,100.0",",group E,bachelor's degree,standard,none,100.0,100.0,100.0",,,nan/nan
459,"male,group B,,standard,completed,72.0,65.0,68.0","male,group B,,standard,completed,72.0,65.0,68.0",,,nan/nan
460,"male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55.0","male,group C,bachelor's degree,free/reduced,none,53.0,58.0,55.0",,,nan/nan
461,"male,,some college,free/reduced,none,54.0,54.0,45.0","male,,some college,free/reduced,none,54.0,54.0,45.0",,,nan/nan
462,"female,group E,some college,standard,,71.0,70.0,76.0","female,group E,some college,standard,,71.0,70.0,76.0",,,nan/nan
463,"female,group C,some college,free/reduced,none,77.0,90.0,91.0","female,group C,some college,free/reduced,none,77.0,90.0,91.0",,,nan/nan
464,"male,group A,bachelor's degree,standard,completed,75.0,58.0,62.0","male,group A,bachelor's degree,standard,completed,75.0,58.0,62.0",,,nan/nan
465,"female,group C,some college,standard,none,84.0,87.0,91.0","female,group C,some college,standard,none,84.0,87.0,91.0",,,nan/nan
466,"female,group D,associate's degree,free/reduced,none,26.0,31.0,38.0","female,group D,associate's degree,free/reduced,none,26.0,31.0,38.0",,,nan/nan
467,"male,group A,high school,free/reduced,completed,72.0,67.0,65.0","male,group A,high school,free/reduced,completed,72.0,67.0,65.0",,,nan/nan
468,"female,group A,high school,free/reduced,completed,77.0,88.0,85.0","female,group A,high school,free/reduced,completed,77.0,88.0,85.0",,,nan/nan
469,"male,group C,some college,standard,none,91.0,74.0,76.0","male,group C,some college,standard,none,91.0,74.0,76.0",,,nan/nan
470,"female,group C,associate's degree,standard,completed,83.0,85.0,90.0","female,group C,associate's degree,standard,completed,83.0,85.0,90.0",,,nan/nan
471,"female,group C,high school,standard,none,63.0,69.0,74.0","female,group C,high school,standard,none,63.0,69.0,74.0",,,nan/nan
472,"female,group C,associate's degree,standard,completed,68.0,86.0,","female,group C,associate's degree,standard,completed,68.0,86.0,",,,nan/nan
473,"female,group D,some high school,standard,none,59.0,67.0,61.0","female,group D,some high school,standard,none,59.0,67.0,61.0",,,nan/nan
474,"female,group B,associate's degree,standard,completed,90.0,90.0,91.0","female,group B,associate's degree,standard,completed,90.0,90.0,91.0",,,nan/nan
475,"female,group D,bachelor's degree,standard,completed,71.0,,83.0","female,group D,bachelor's degree,standard,completed,71.0,,83.0",,,nan/nan
476,"male,group E,,standard,completed,76.0,62.0,66.0","male,group E,,standard,completed,76.0,62.0,66.0",,,nan/nan
477,"male,group D,associate's degree,standard,none,80.0,68.0,72.0","male,group D,associate's degree,standard,none,80.0,68.0,72.0",,,nan/nan
478,"female,group D,master's degree,standard,none,55.0,64.0,70.0","female,group D,master's degree,standard,none,55.0,64.0,70.0",,,nan/nan
479,"male,group E,associate's degree,standard,none,76.0,71.0,67.0","male,group E,associate's degree,standard,none,76.0,71.0,67.0",,,nan/nan
480,"male,group B,high school,standard,completed,73.0,71.0,68.0","male,group B,high school,standard,completed,73.0,71.0,68.0",,,nan/nan
481,"female,group D,associate's degree,free/reduced,none,52.0,59.0,","female,group D,associate's degree,free/reduced,none,52.0,59.0,",,,nan/nan
482,"male,group C,some college,free/reduced,none,68.0,68.0,61.0","male,group C,some college,free/reduced,none,68.0,68.0,61.0",,,nan/nan
483,"male,group A,high school,standard,none,59.0,52.0,46.0","male,group A,high school,standard,none,59.0,52.0,46.0",,,nan/nan
484,"female,group B,associate's degree,standard,none,49.0,52.0,54.0","female,group B,associate's degree,standard,none,49.0,52.0,54.0",,,nan/nan
485,"male,group C,high school,standard,none,70.0,74.0,71.0","male,group C,high school,standard,none,70.0,74.0,71.0",,,nan/nan
486,"male,group D,some college,free/reduced,none,61.0,47.0,56.0","male,group D,some college,free/reduced,none,61.0,47.0,56.0",,,nan/nan
487,"female,group C,associate's degree,free/reduced,none,60.0,75.0,74.0","female,group C,associate's degree,free/reduced,none,60.0,75.0,74.0",,,nan/nan
488,"male,group B,some high school,standard,completed,64.0,53.0,57.0","male,group B,some high school,standard,completed,64.0,53.0,57.0",,,nan/nan
489,"male,group A,associate's degree,free/reduced,completed,79.0,82.0,82.0","male,group A,associate's degree,free/reduced,completed,79.0,82.0,82.0",,,nan/nan
490,"female,group A,associate's degree,free/reduced,none,65.0,85.0,76.0","female,group A,associate's degree,free/reduced,none,65.0,85.0,76.0",,,nan/nan
491,"female,group C,associate's degree,standard,none,64.0,64.0,70.0","female,group C,associate's degree,standard,none,64.0,64.0,70.0",,,nan/nan
492,"female,group C,some college,standard,none,83.0,83.0,90.0","female,group C,some college,standard,none,83.0,83.0,90.0",,,nan/nan
493,"female,group C,bachelor's degree,,none,81.0,88.0,90.0","female,group C,bachelor's degree,,none,81.0,88.0,90.0",,,nan/nan
494,"female,group B,high school,standard,none,54.0,64.0,68.0","female,group B,high school,standard,none,54.0,64.0,68.0",,,nan/nan
495,"male,group D,high school,standard,completed,68.0,64.0,66.0","male,group D,high school,standard,completed,68.0,64.0,66.0",,,nan/nan
496,"female,group C,some college,standard,none,54.0,48.0,52.0","female,group C,some college,standard,none,54.0,48.0,52.0",,,nan/nan
497,"female,group D,some college,,completed,59.0,78.0,76.0","female,group D,some college,,completed,59.0,78.0,76.0",,,nan/nan
498,"female,group B,some high school,standard,none,,69.0,68.0","female,group B,some high school,standard,none,,69.0,68.0",,,nan/nan
499,",group E,some college,standard,none,76.0,71.0,72.0",",group E,some college,standard,none,76.0,71.0,72.0",,,nan/nan
500,"female,group D,,standard,none,74.0,79.0,82.0","female,group D,,standard,none,74.0,79.0,82.0",,,nan/nan
501,"female,group B,associate's degree,standard,completed,94.0,87.0,92.0","female,group B,associate's degree,standard,completed,94.0,87.0,92.0",,,nan/nan
502,"male,group C,some college,free/reduced,none,63.0,61.0,54.0","male,group C,some college,free/reduced,none,63.0,61.0,54.0",,,nan/nan
503,"female,group E,associate's degree,standard,completed,95.0,89.0,92.0","female,group E,associate's degree,standard,completed,95.0,89.0,92.0",,,nan/nan
504,"female,group D,master's degree,free/reduced,,40.0,59.0,54.0","female,group D,master's degree,free/reduced,,40.0,59.0,54.0",,,nan/nan
505,"female,group B,some high school,standard,none,82.0,82.0,80.0","female,group B,some high school,standard,none,82.0,82.0,80.0",,,nan/nan
506,"male,group A,high school,standard,,68.0,70.0,66.0","male,group A,high school,standard,,68.0,70.0,66.0",,,nan/nan
507,"male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54.0","male,group B,bachelor's degree,free/reduced,none,55.0,59.0,54.0",,,nan/nan
508,"male,group C,master's degree,standard,none,79.0,,77.0","male,group C,master's degree,standard,none,79.0,,77.0",,,nan/nan
509,",group C,bachelor's degree,standard,none,86.0,92.0,87.0",",group C,bachelor's degree,standard,none,86.0,92.0,87.0",,,nan/nan
510,"male,group D,some college,standard,none,76.0,71.0,","male,group D,some college,standard,none,76.0,71.0,",,,nan/nan
511,"male,group A,some high school,standard,none,64.0,50.0,43.0","male,group A,some high school,standard,none,64.0,50.0,43.0",,,nan/nan
512,"male,group D,some high school,free/reduced,none,62.0,49.0,52.0","male,group D,some high school,free/reduced,none,62.0,49.0,52.0",,,nan/nan
513,"female,group B,some high school,standard,completed,54.0,61.0,62.0","female,group B,some high school,standard,completed,54.0,61.0,62.0",,,nan/nan
514,"female,group B,master's degree,,completed,77.0,97.0,94.0","female,group B,master's degree,,completed,77.0,97.0,94.0",,,nan/nan
515,"female,group C,some high school,standard,completed,76.0,87.0,85.0","female,group C,some high school,standard,completed,76.0,87.0,85.0",,,nan/nan
516,"female,group D,some college,standard,none,74.0,89.0,84.0","female,group D,some college,standard,none,74.0,89.0,84.0",,,nan/nan
517,"female,,some college,standard,completed,66.0,74.0,73.0","female,,some college,standard,completed,66.0,74.0,73.0",,,nan/nan
518,"female,,some high school,standard,completed,66.0,78.0,78.0","female,,some high school,standard,completed,66.0,78.0,78.0",,,nan/nan
519,"female,group B,high school,free/reduced,completed,67.0,78.0,79.0","female,group B,high school,free/reduced,completed,67.0,78.0,79.0",,,nan/nan
520,"male,group D,some college,standard,none,71.0,49.0,52.0","male,group D,some college,standard,none,71.0,49.0,52.0",,,nan/nan
521,"female,group C,,standard,none,91.0,86.0,84.0","female,group C,,standard,none,91.0,86.0,84.0",,,nan/nan
522,"male,group D,bachelor's degree,standard,none,69.0,58.0,57.0","male,group D,bachelor's degree,standard,none,69.0,58.0,57.0",,,nan/nan
523,"male,group C,master's degree,,none,54.0,59.0,50.0","male,group C,master's degree,,none,54.0,59.0,50.0",,,nan/nan
524,"male,group C,high school,standard,,53.0,52.0,49.0","male,group C,high school,standard,,53.0,52.0,49.0",,,nan/nan
525,"male,group E,some college,standard,none,68.0,60.0,59.0","male,group E,some college,standard,none,68.0,60.0,59.0",,,nan/nan
526,"male,group C,some high school,free/reduced,completed,56.0,61.0,60.0","male,group C,some high school,free/reduced,completed,56.0,61.0,60.0",,,nan/nan
527,"female,group C,high school,free/reduced,none,36.0,53.0,43.0","female,group C,high school,free/reduced,none,36.0,53.0,43.0",,,nan/nan
528,"female,group D,bachelor's degree,free/reduced,none,29.0,,47.0","female,group D,bachelor's degree,free/reduced,none,29.0,,47.0",,,nan/nan
529,"female,group C,associate's degree,standard,none,62.0,74.0,70.0","female,group C,associate's degree,standard,none,62.0,74.0,70.0",,,nan/nan
530,"female,group C,associate's degree,standard,completed,68.0,67.0,73.0","female,group C,associate's degree,standard,completed,68.0,67.0,73.0",,,nan/nan
531,"female,group C,some high school,,none,47.0,54.0,53.0","female,group C,some high school,,none,47.0,54.0,53.0",,,nan/nan
532,"male,group E,associate's degree,standard,completed,62.0,61.0,58.0","male,group E,associate's degree,standard,completed,62.0,61.0,58.0",,,nan/nan
533,"female,group E,associate's degree,standard,completed,79.0,88.0,94.0","female,group E,associate's degree,standard,completed,79.0,88.0,94.0",,,nan/nan
534,"male,group B,high school,standard,completed,73.0,69.0,68.0","male,group B,high school,standard,completed,73.0,69.0,68.0",,,nan/nan
535,"female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83.0","female,group C,bachelor's degree,free/reduced,completed,66.0,83.0,83.0",,,nan/nan
536,"male,group C,associate's degree,,completed,51.0,60.0,58.0","male,group C,associate's degree,,completed,51.0,60.0,58.0",,,nan/nan
537,"female,group D,high school,standard,none,51.0,66.0,","female,group D,high school,standard,none,51.0,66.0,",,,nan/nan
538,"male,group E,bachelor's degree,standard,completed,85.0,66.0,71.0","male,group E,bachelor's degree,standard,completed,85.0,66.0,71.0",,,nan/nan
539,"male,group A,associate's degree,standard,completed,97.0,92.0,86.0","male,group A,associate's degree,standard,completed,97.0,92.0,86.0",,,nan/nan
540,"male,,high school,standard,completed,75.0,69.0,68.0","male,,high school,standard,completed,75.0,69.0,68.0",,,nan/nan
541,"male,group D,associate's degree,free/reduced,completed,79.0,82.0,80.0","male,group D,associate's degree,free/reduced,completed,79.0,82.0,80.0",,,nan/nan
542,"female,group C,associate's degree,standard,none,81.0,77.0,79.0","female,group C,associate's degree,standard,none,81.0,77.0,79.0",,,nan/nan
543,"female,group D,associate's degree,standard,none,82.0,95.0,89.0","female,group D,associate's degree,standard,none,82.0,95.0,89.0",,,nan/nan
544,"female,,master's degree,standard,none,,63.0,","female,,master's degree,standard,none,,63.0,",,,nan/nan
545,"male,group E,some high school,free/reduced,completed,78.0,83.0,","male,group E,some high school,free/reduced,completed,78.0,83.0,",,,nan/nan
546,"female,group A,some high school,standard,completed,92.0,100.0,97.0","female,group A,some high school,standard,completed,92.0,100.0,97.0",,,nan/nan
547,"male,group C,,standard,completed,72.0,67.0,64.0","male,group C,,standard,completed,72.0,67.0,64.0",,,nan/nan
548,"female,group C,high school,free/reduced,none,62.0,67.0,64.0","female,group C,high school,free/reduced,none,62.0,67.0,64.0",,,nan/nan
549,"male,group C,master's degree,standard,none,79.0,72.0,69.0","male,group C,master's degree,standard,none,79.0,72.0,69.0",,,nan/nan
550,"male,group C,some high school,free/reduced,none,79.0,76.0,65.0","male,group C,some high school,free/reduced,none,79.0,76.0,65.0",,,nan/nan
551,"male,group B,bachelor's degree,free/reduced,completed,,90.0,88.0","male,group B,bachelor's degree,free/reduced,completed,,90.0,88.0",,,nan/nan
552,"female,group B,associate's degree,standard,none,40.0,48.0,50.0","female,group B,associate's degree,standard,none,40.0,48.0,50.0",,,nan/nan
553,"male,group D,some college,free/reduced,none,77.0,62.0,64.0","male,group D,some college,free/reduced,none,77.0,62.0,64.0",,,nan/nan
554,"male,group E,,standard,none,53.0,45.0,40.0","male,group E,,standard,none,53.0,45.0,40.0",,,nan/nan
555,"female,group C,some college,free/reduced,none,32.0,39.0,33.0","female,group C,some college,free/reduced,none,32.0,39.0,33.0",,,nan/nan
556,"female,group C,associate's degree,standard,completed,55.0,72.0,79.0","female,group C,associate's degree,standard,completed,55.0,72.0,79.0",,,nan/nan
557,"male,group C,master's degree,,none,,67.0,66.0","male,group C,master's degree,,none,,67.0,66.0",,,nan/nan
558,"female,group B,associate's degree,free/reduced,none,53.0,70.0,70.0","female,group B,associate's degree,free/reduced,none,53.0,70.0,70.0",,,nan/nan
559,"male,group D,some high school,standard,none,73.0,66.0,62.0","male,group D,some high school,standard,none,73.0,66.0,62.0",,,nan/nan
560,"female,group D,some college,standard,completed,74.0,75.0,79.0","female,group D,some college,standard,completed,74.0,75.0,79.0",,,nan/nan
561,"female,group C,some college,standard,none,63.0,74.0,74.0","female,group C,some college,standard,none,63.0,74.0,74.0",,,nan/nan
562,"male,group C,,standard,completed,96.0,90.0,92.0","male,group C,,standard,completed,96.0,90.0,92.0",,,nan/nan
563,"female,group D,some college,free/reduced,completed,63.0,80.0,80.0","female,group D,some college,free/reduced,completed,63.0,80.0,80.0",,,nan/nan
564,"male,group B,bachelor's degree,,none,48.0,51.0,46.0","male,group B,bachelor's degree,,none,48.0,51.0,46.0",,,nan/nan
565,"male,group B,associate's degree,standard,none,48.0,43.0,45.0","male,group B,associate's degree,standard,none,48.0,43.0,45.0",,,nan/nan
566,"female,group E,bachelor's degree,free/reduced,completed,92.0,100.0,100.0","female,group E,bachelor's degree,free/reduced,completed,92.0,100.0,100.0",,,nan/nan
567,"female,group D,master's degree,free/reduced,completed,61.0,71.0,78.0","female,group D,master's degree,free/reduced,completed,61.0,71.0,78.0",,,nan/nan
568,"male,group B,high school,free/reduced,none,63.0,48.0,47.0","male,group B,high school,free/reduced,none,63.0,48.0,47.0",,,nan/nan
569,"male,group D,bachelor's degree,free/reduced,none,68.0,68.0,67.0","male,group D,bachelor's degree,free/reduced,none,68.0,68.0,67.0",,,nan/nan
570,"male,group B,some college,standard,completed,71.0,75.0,70.0","male,group B,some college,standard,completed,71.0,75.0,70.0",,,nan/nan
571,"male,group A,bachelor's degree,standard,none,91.0,96.0,92.0","male,group A,bachelor's degree,standard,none,91.0,96.0,92.0",,,nan/nan
572,"female,group C,some college,standard,none,53.0,62.0,56.0","female,group C,some college,standard,none,53.0,62.0,56.0",,,nan/nan
573,"female,group C,high school,free/reduced,completed,50.0,66.0,64.0","female,group C,high school,free/reduced,completed,50.0,66.0,64.0",,,nan/nan
574,"female,group E,high school,standard,none,,81.0,71.0","female,group E,high school,standard,none,,81.0,71.0",,,nan/nan
575,"male,group A,associate's degree,free/reduced,completed,40.0,55.0,53.0","male,group A,associate's degree,free/reduced,completed,40.0,55.0,53.0",,,nan/nan
576,"male,group A,some college,standard,completed,61.0,51.0,52.0","male,group A,some college,standard,completed,61.0,51.0,52.0",,,nan/nan
577,"female,group B,high school,standard,none,81.0,91.0,89.0","female,group B,high school,standard,none,81.0,91.0,89.0",,,nan/nan
578,"female,group B,some college,free/reduced,completed,48.0,56.0,58.0","female,group B,some college,free/reduced,completed,48.0,56.0,58.0",,,nan/nan
579,"female,group D,master's degree,standard,none,53.0,,68.0","female,group D,master's degree,standard,none,53.0,,68.0",,,nan/nan
580,"female,group D,some high school,standard,none,81.0,97.0,96.0","female,group D,some high school,standard,none,81.0,97.0,96.0",,,nan/nan
581,"female,group E,some high school,,none,77.0,79.0,80.0","female,group E,some high school,,none,77.0,79.0,80.0",,,nan/nan
582,"female,group D,bachelor's degree,free/reduced,none,63.0,73.0,78.0","female,group D,bachelor's degree,free/reduced,none,63.0,73.0,78.0",,,nan/nan
583,"female,group D,associate's degree,standard,completed,73.0,75.0,80.0","female,group D,associate's degree,standard,completed,73.0,75.0,80.0",,,nan/nan
584,"female,group D,some college,,none,69.0,77.0,77.0","female,group D,some college,,none,69.0,77.0,77.0",,,nan/nan
585,"female,group C,associate's degree,standard,none,65.0,76.0,76.0","female,group C,associate's degree,standard,none,65.0,76.0,76.0",,,nan/nan
586,"female,group A,high school,standard,none,,73.0,73.0","female,group A,high school,standard,none,,73.0,73.0",,,nan/nan
587,"female,group C,bachelor's degree,free/reduced,none,44.0,63.0,62.0","female,group C,bachelor's degree,free/reduced,none,44.0,63.0,62.0",,,nan/nan
588,"female,,some college,standard,none,54.0,64.0,65.0","female,,some college,standard,none,54.0,64.0,65.0",,,nan/nan
589,"female,group A,some high school,,none,,66.0,65.0","female,group A,some high school,,none,,66.0,65.0",,,nan/nan
590,"male,group C,some college,free/reduced,none,58.0,57.0,54.0","male,group C,some college,free/reduced,none,58.0,57.0,54.0",,,nan/nan
591,"male,,some high school,standard,none,71.0,62.0,50.0","male,,some high school,standard,none,71.0,62.0,50.0",,,nan/nan
592,"male,group E,bachelor's degree,standard,none,68.0,68.0,64.0","male,group E,bachelor's degree,standard,none,68.0,68.0,64.0",,,nan/nan
593,"female,group E,high school,standard,none,74.0,76.0,73.0","female,group E,high school,standard,none,74.0,76.0,73.0",,,nan/nan
594,"female,group C,,standard,completed,92.0,100.0,99.0","female,group C,,standard,completed,92.0,100.0,99.0",,,nan/nan
595,"female,group C,bachelor's degree,standard,,,,72.0","female,group C,bachelor's degree,standard,,,,72.0",,,nan/nan
596,"male,group B,high school,free/reduced,none,30.0,24.0,","male,group B,high school,free/reduced,none,30.0,24.0,",,,nan/nan
597,",group A,some high school,standard,none,53.0,54.0,",",group A,some high school,standard,none,53.0,54.0,",,,nan/nan
598,"female,group D,,standard,none,69.0,77.0,73.0","female,group D,,standard,none,69.0,77.0,73.0",,,nan/nan
599,"female,group D,some high school,standard,none,65.0,82.0,81.0","female,group D,some high school,standard,none,65.0,82.0,81.0",,,nan/nan
600,"female,group D,master's degree,standard,none,54.0,60.0,63.0","female,group D,master's degree,standard,none,54.0,60.0,63.0",,,nan/nan
601,"female,group C,high school,standard,none,29.0,29.0,30.0","female,group C,high school,standard,none,29.0,29.0,30.0",,,nan/nan
602,"female,group E,some college,standard,,76.0,78.0,80.0","female,group E,some college,standard,,76.0,78.0,80.0",,,nan/nan
603,",group D,high school,free/reduced,none,60.0,57.0,51.0",",group D,high school,free/reduced,none,60.0,57.0,51.0",,,nan/nan
604,"male,group D,master's degree,free/reduced,completed,84.0,89.0,90.0","male,group D,master's degree,free/reduced,completed,84.0,89.0,90.0",,,nan/nan
605,"male,group C,some high school,standard,none,75.0,72.0,62.0","male,group C,some high school,standard,none,75.0,72.0,62.0",,,nan/nan
606,"female,group C,associate's degree,standard,none,85.0,,82.0","female,group C,associate's degree,standard,none,85.0,,82.0",,,nan/nan
607,"female,group C,master's degree,free/reduced,none,40.0,58.0,54.0","female,group C,master's degree,free/reduced,none,40.0,58.0,54.0",,,nan/nan
608,"female,group E,some college,standard,none,61.0,64.0,62.0","female,group E,some college,standard,none,61.0,64.0,62.0",,,nan/nan
609,"female,group B,,standard,,58.0,63.0,65.0","female,group B,,standard,,58.0,63.0,65.0",,,nan/nan
610,"male,group D,some college,free/reduced,completed,69.0,60.0,63.0","male,group D,some college,free/reduced,completed,69.0,60.0,63.0",,,nan/nan
611,"female,group C,some college,standard,none,58.0,59.0,66.0","female,group C,some college,standard,none,58.0,59.0,66.0",,,nan/nan
612,"male,group C,bachelor's degree,standard,completed,,90.0,91.0","male,group C,bachelor's degree,standard,completed,,90.0,91.0",,,nan/nan
613,"female,group C,associate's degree,,none,65.0,77.0,74.0","female,group C,associate's degree,,none,65.0,77.0,74.0",,,nan/nan
614,"female,group A,associate's degree,standard,none,82.0,93.0,93.0","female,group A,associate's degree,standard,none,82.0,93.0,93.0",,,nan/nan
615,"female,group C,high school,,none,60.0,68.0,","female,group C,high school,,none,60.0,68.0,",,,nan/nan
616,"female,group E,bachelor's degree,standard,none,37.0,45.0,","female,group E,bachelor's degree,standard,none,37.0,45.0,",,,nan/nan
617,"male,group D,bachelor's degree,standard,none,88.0,78.0,83.0","male,group D,bachelor's degree,standard,none,88.0,78.0,83.0",,,nan/nan
618,"male,group D,master's degree,standard,none,95.0,81.0,84.0","male,group D,master's degree,standard,none,95.0,81.0,84.0",,,nan/nan
619,"male,group C,associate's degree,free/reduced,completed,65.0,73.0,68.0","male,group C,associate's degree,free/reduced,completed,65.0,73.0,68.0",,,nan/nan
620,"female,group C,high school,free/reduced,none,35.0,61.0,54.0","female,group C,high school,free/reduced,none,35.0,61.0,54.0",,,nan/nan
621,"male,group B,bachelor's degree,free/reduced,none,62.0,63.0,56.0","male,group B,bachelor's degree,free/reduced,none,62.0,63.0,56.0",,,nan/nan
622,"male,group C,high school,free/reduced,completed,58.0,51.0,52.0","male,group C,high school,free/reduced,completed,58.0,51.0,52.0",,,nan/nan
623,"male,group A,some college,standard,completed,100.0,96.0,86.0","male,group A,some college,standard,completed,100.0,96.0,86.0",,,nan/nan
624,"female,group E,bachelor's degree,free/reduced,none,61.0,58.0,62.0","female,group E,bachelor's degree,free/reduced,none,61.0,58.0,62.0",,,nan/nan
625,"male,group D,some college,standard,completed,100.0,97.0,99.0","male,group D,some college,standard,completed,100.0,97.0,99.0",,,nan/nan
626,"male,group B,associate's degree,,completed,69.0,70.0,63.0","male,group B,associate's degree,,completed,69.0,70.0,63.0",,,nan/nan
627,"male,group D,,standard,,61.0,48.0,46.0","male,group D,,standard,,61.0,48.0,46.0",,,nan/nan
628,",group D,some college,free/reduced,none,49.0,57.0,46.0",",group D,some college,free/reduced,none,49.0,57.0,46.0",,,nan/nan
629,"female,group C,some high school,standard,completed,44.0,51.0,55.0","female,group C,some high school,standard,completed,44.0,51.0,55.0",,,nan/nan
630,",group D,some college,standard,none,67.0,64.0,70.0",",group D,some college,standard,none,67.0,64.0,70.0",,,nan/nan
631,"male,group B,high school,,none,79.0,60.0,65.0","male,group B,high school,,none,79.0,60.0,65.0",,,nan/nan
632,"female,group B,bachelor's degree,standard,completed,66.0,74.0,81.0","female,group B,bachelor's degree,standard,completed,66.0,74.0,81.0",,,nan/nan
633,",group C,high school,standard,none,75.0,88.0,85.0",",group C,high school,standard,none,75.0,88.0,85.0",,,nan/nan
634,"male,group D,some high school,standard,none,84.0,84.0,80.0","male,group D,some high school,standard,none,84.0,84.0,80.0",,,nan/nan
635,"male,group A,,standard,none,71.0,74.0,64.0","male,group A,,standard,none,71.0,74.0,64.0",,,nan/nan
636,"female,group B,high school,free/reduced,completed,67.0,80.0,81.0","female,group B,high school,free/reduced,completed,67.0,80.0,81.0",,,nan/nan
637,"female,group D,some high school,standard,,80.0,92.0,88.0","female,group D,some high school,standard,,80.0,92.0,88.0",,,nan/nan
638,"male,group E,some college,standard,none,86.0,76.0,74.0","male,group E,some college,standard,none,86.0,76.0,74.0",,,nan/nan
639,"female,group D,associate's degree,standard,none,76.0,74.0,73.0","female,group D,associate's degree,standard,none,76.0,74.0,73.0",,,nan/nan
640,"male,group D,high school,standard,none,41.0,52.0,51.0","male,group D,high school,standard,none,41.0,52.0,51.0",,,nan/nan
641,"female,group D,associate's degree,,completed,74.0,88.0,90.0","female,group D,associate's degree,,completed,74.0,88.0,90.0",,,nan/nan
